CustomerID,Age,Tenure_Months,Monthly_Charges,Contract_Type,Tech_Support,Churn
99,46,54,28.114917853623915,Month-to-month,Yes,0
100,32,63,115.14907101767872,Month-to-month,No,0
101,62,7,103.84918338430248,Two year,No,0
102,18,49,100.50903184956627,One year,Yes,0
103,42,31,102.29838050417675,One year,No,0
104,24,58,113.27105081327613,Month-to-month,No,1
105,26,61,74.42539661136976,Month-to-month,Yes,0
106,41,24,40.028201786762594,Two year,No,0
107,18,20,81.67836078525411,Month-to-month,No,1
108,61,37,94.2881493667939,One year,No,0
109,25,4,93.79173933540254,Month-to-month,No,1
110,41,20,72.14490241668801,One year,No,0
111,28,60,26.845871933357806,Two year,Yes,0
112,68,24,57.11129384301278,One year,No,0
113,34,50,112.07666084633573,Month-to-month,Yes,0
114,25,49,78.4448909757426,One year,No,1
115,52,51,73.83319432557134,One year,Yes,0
116,52,36,46.88535143821935,Month-to-month,No,1
117,50,66,56.84489199165789,Two year,No,0
118,22,34,109.53460891531692,One year,No,0
119,59,36,86.64630475268358,Two year,Yes,0
120,56,6,98.73870267523328,One year,No,1
121,58,39,65.43454230676551,Month-to-month,No,0
122,45,42,83.0247219456158,Month-to-month,No,1
123,24,58,44.838360874320756,Month-to-month,Yes,0
124,26,12,90.54608302834863,Two year,No,0
125,25,3,62.76013337033373,One year,No,0
126,29,18,64.25455148147455,One year,Yes,0
127,51,40,84.93223245768817,Month-to-month,No,1
128,50,21,113.62806214689266,Month-to-month,No,0
129,65,15,26.400634660862092,One year,No,0
130,40,26,102.47432373470076,Month-to-month,No,0
131,41,8,49.23831104121931,Month-to-month,No,1
132,54,42,64.39194545063779,One year,No,0
133,52,44,22.191332877500894,Month-to-month,No,1
134,61,14,50.104607783431305,Month-to-month,No,1
135,57,2,70.26312426301305,Month-to-month,No,1
136,39,37,25.6176077347439,Month-to-month,No,1
137,44,69,69.10957293831652,Two year,Yes,0
138,52,38,112.71106288584274,Month-to-month,No,0
139,18,41,30.53932181078052,Month-to-month,No,0
140,52,62,96.44407280755044,Month-to-month,Yes,0
141,54,60,60.967105337599264,One year,Yes,0
142,64,14,85.5173714524338,Month-to-month,No,1
143,31,2,46.023659798522935,One year,No,1
144,20,70,35.94922625413583,Month-to-month,No,0
145,18,17,36.046261427122644,Month-to-month,No,0
146,22,28,27.049194564314465,Month-to-month,Yes,0
147,43,66,38.5646704901243,Two year,No,0
148,31,35,86.42193849889682,Two year,No,0
149,56,5,108.16906118435081,Month-to-month,No,1
150,44,65,101.41256855911618,One year,Yes,0
151,26,40,88.51343098744842,Two year,No,0
152,32,56,31.043186341110268,Month-to-month,Yes,0
153,32,36,48.91874462959498,Two year,No,0
154,43,45,50.9806875322469,Month-to-month,No,0
155,59,23,44.99569463976212,Two year,No,0
156,30,47,71.5005659709723,One year,Yes,0
157,68,31,73.55538148796725,Two year,No,0
158,49,11,55.68859751711102,One year,No,1
159,56,10,55.3789158736436,Month-to-month,No,1
160,66,67,102.85555979060814,Two year,No,1
161,69,14,98.92928483196856,Month-to-month,No,0
162,49,10,50.779583168074566,Month-to-month,No,0
163,21,1,111.37884438732593,One year,No,1
164,47,5,115.2815017002506,One year,No,0
165,54,20,52.67425420300408,Two year,Yes,0
166,40,8,55.442494879305485,Month-to-month,No,0
167,56,43,70.56341534219588,One year,No,0
168,62,1,114.11208125336735,One year,Yes,1
169,32,57,107.63194331423115,Month-to-month,No,0
170,60,64,30.256796258358982,Month-to-month,No,1
171,46,28,59.27307432714162,Month-to-month,No,0
172,53,37,75.33711897497719,Month-to-month,No,1
173,30,47,70.31324725515401,Two year,Yes,0
174,49,37,39.38630679368927,One year,No,0
175,24,49,105.88167711681547,One year,Yes,0
176,68,44,87.69407829968374,Two year,No,1
177,39,56,103.79083748518036,Month-to-month,Yes,0
178,45,28,105.87642793494722,Two year,Yes,0
179,19,6,94.83558536657398,Month-to-month,No,1
180,59,61,63.92106012497173,Two year,No,0
181,62,20,81.05467550154245,Month-to-month,No,1
182,23,2,36.03654061197432,Two year,No,1
183,45,37,87.36454174749078,Month-to-month,Yes,1
184,45,20,37.92532557392808,Month-to-month,Yes,0
185,61,26,89.39495905101568,One year,No,0
186,61,29,42.959816075396866,Month-to-month,Yes,0
187,37,1,31.755130015021997,One year,No,0
188,47,35,36.528449014295745,Month-to-month,No,0
189,28,70,20.199213521907026,One year,No,0
190,45,59,91.87396178535302,Month-to-month,No,0
191,42,69,93.24010490583791,Month-to-month,No,1
192,56,33,71.49333499132595,Month-to-month,No,0
193,50,51,36.13628010553837,Month-to-month,Yes,0
194,18,12,28.355433751068976,Month-to-month,Yes,0
195,44,20,21.9128966437287,Month-to-month,No,0
196,69,53,36.574817696522075,Month-to-month,No,1
197,30,43,109.08555349831467,Month-to-month,No,0
198,58,50,44.15368417016818,One year,No,0
199,20,29,55.42713272172156,Two year,Yes,0
200,56,57,30.534548448133318,Month-to-month,No,0
201,23,39,42.23613047481703,One year,No,0
202,25,56,71.92245707802051,One year,Yes,0
203,44,43,80.77526830956526,Month-to-month,No,1
204,26,50,44.5352314166211,One year,Yes,0
205,54,23,25.77321592251172,Month-to-month,No,0
206,50,44,59.10328691273987,One year,No,0
207,68,38,43.42033709263342,Month-to-month,No,0
208,59,23,41.955392322980195,One year,No,0
209,61,45,115.98628027134552,One year,No,0
210,41,52,81.63004859257241,Month-to-month,No,1
211,32,50,75.6878443172096,Month-to-month,No,1
212,49,8,61.57751035233219,Two year,No,0
213,49,1,62.89443334301443,Month-to-month,No,1
214,41,8,74.09050038380809,One year,Yes,0
215,58,29,89.64298070361072,Two year,No,0
216,69,5,90.21460961818295,One year,Yes,0
217,66,47,37.16939077054496,One year,Yes,0
218,66,34,70.01127520766269,One year,No,0
219,69,65,61.195809503410196,Two year,No,0
220,29,55,107.05269662693841,Month-to-month,Yes,0
221,56,43,83.14189212183764,Month-to-month,No,1
222,19,30,73.25040664159818,Month-to-month,No,0
223,20,17,31.539464217891737,Two year,No,0
224,66,26,80.56378893234114,One year,Yes,0
225,54,8,31.72039056802334,Month-to-month,No,1
226,66,47,53.720657556575205,Two year,No,0
227,34,46,34.284196481433185,Month-to-month,No,0
228,66,68,89.20736470243689,Month-to-month,Yes,0
229,19,33,40.62521138361526,One year,Yes,0
230,19,1,59.1859373188026,Month-to-month,No,0
231,45,19,109.56747776187787,Two year,No,0
232,40,31,40.43163833989703,Month-to-month,Yes,0
233,54,14,70.78050639587792,Two year,Yes,0
234,49,53,61.9271661166022,One year,No,0
235,50,48,21.812404104572973,Month-to-month,Yes,0
236,18,69,99.27581135728128,Two year,No,1
237,36,62,26.904590631459975,One year,Yes,0
238,19,66,67.42550209769536,Month-to-month,Yes,0
239,61,64,76.06782949389499,Month-to-month,No,0
240,43,70,82.8426456614587,Two year,No,0
241,49,63,88.86316293078755,Month-to-month,No,1
242,23,33,45.32723835227151,Month-to-month,No,0
243,49,41,20.99787766584494,Month-to-month,No,0
244,21,48,92.3443662354912,Month-to-month,No,0
245,28,13,73.56565993475786,One year,Yes,0
246,34,31,103.61177032072487,Month-to-month,No,0
247,55,68,102.13883629006943,Month-to-month,No,1
248,41,4,104.33261677878832,Month-to-month,No,1
249,22,19,68.50946599795401,Month-to-month,Yes,0
250,69,70,53.362839583686565,Two year,No,0
251,51,13,99.155820259137,Month-to-month,No,1
252,23,23,65.12941130292549,Two year,No,0
253,39,1,38.344219640343454,Month-to-month,Yes,1
254,28,54,105.49740195614743,Month-to-month,Yes,1
255,65,71,108.25598767723473,Two year,No,0
256,33,15,66.63097561401702,Month-to-month,Yes,1
257,50,65,27.569972730978748,One year,No,0
258,26,71,58.782608991693124,Two year,No,0
259,23,15,100.35376594626034,Month-to-month,Yes,1
260,33,21,110.17740285462287,Month-to-month,No,1
261,46,19,40.34727424975958,One year,No,0
262,20,60,26.69736120252715,Month-to-month,No,0
263,37,33,107.73504531328386,Month-to-month,Yes,0
264,53,49,58.94049389788753,Month-to-month,Yes,0
265,36,35,74.17609642675632,Month-to-month,No,0
266,43,44,116.80658120507589,One year,Yes,0
267,20,11,26.656472791422285,Month-to-month,No,0
268,36,66,84.83180074520956,Month-to-month,Yes,1
269,37,46,27.410542257486707,One year,No,0
270,49,9,57.54689284665004,Month-to-month,No,0
271,24,3,100.38145451934467,Month-to-month,No,1
272,69,26,63.34722327556344,One year,Yes,0
273,58,48,119.71823539029504,Month-to-month,No,1
274,50,66,75.90592849466022,One year,Yes,0
275,57,70,52.11621526359535,Two year,No,0
276,56,28,42.01113259047531,Month-to-month,Yes,0
277,35,26,55.05205342861618,One year,No,0
278,57,25,57.25332737595508,Month-to-month,No,0
279,18,12,26.8713677723961,Month-to-month,Yes,0
280,28,5,56.95741994267732,Two year,No,0
281,45,48,66.4238519739225,Two year,Yes,0
282,42,37,92.27377522388046,Month-to-month,No,1
283,67,44,85.6729484721608,One year,No,0
284,40,15,90.87656552291543,Two year,No,0
285,48,43,20.83636818768571,Two year,No,0
286,47,48,41.766739958053606,One year,Yes,0
287,59,70,86.16842883998565,Month-to-month,No,1
288,52,46,68.39893681797471,Month-to-month,Yes,1
289,24,43,20.531347566834594,Two year,No,0
290,33,21,100.44946424318223,Month-to-month,No,0
291,43,23,97.28095732903374,One year,No,0
292,65,47,74.84191629935626,Month-to-month,Yes,0
293,69,15,26.646332577627213,Month-to-month,No,1
294,66,25,96.65150495325847,Month-to-month,No,0
295,19,36,78.3713587731364,Two year,No,0
296,18,51,98.19599771579591,Month-to-month,Yes,0
297,65,15,95.17469923958404,One year,Yes,0
298,29,68,100.30020719578371,Month-to-month,Yes,1
299,22,21,71.80080664046248,Month-to-month,No,0
300,54,13,34.0324518193515,Month-to-month,Yes,0
301,49,19,87.11574733796887,One year,No,1
302,26,34,82.04737850519706,Month-to-month,Yes,1
303,58,68,94.22531871990871,Month-to-month,No,0
304,52,52,36.98810060507353,Month-to-month,No,0
305,36,27,39.49751999002892,Month-to-month,No,1
306,65,29,109.04095172193284,Two year,No,0
307,33,28,94.99777984520708,Two year,Yes,0
308,20,35,110.82284887003229,Month-to-month,Yes,1
309,37,8,95.87153211639207,One year,Yes,1
310,41,16,79.71553059903019,Two year,No,0
311,50,36,85.41327370278736,Month-to-month,No,1
312,41,30,108.91279239400099,Two year,No,0
313,69,18,77.88067545119405,Two year,No,0
314,28,2,83.23913243283874,Month-to-month,No,1
315,66,49,35.647671600360056,Month-to-month,No,1
316,25,4,67.39212201161027,Two year,No,0
317,53,7,91.6397111958099,One year,Yes,1
318,55,39,47.09426983163654,Month-to-month,No,1
319,57,13,40.22541805245349,Month-to-month,No,1
320,37,31,51.38268082244156,Month-to-month,No,1
321,52,71,44.15006279928335,One year,No,0
322,65,63,41.49126370363959,One year,No,0
323,42,56,62.48508428680869,Two year,Yes,0
324,52,42,110.78385138835341,Month-to-month,No,0
325,42,61,70.70596467387182,One year,No,0
326,46,42,38.792038081532304,One year,Yes,0
327,35,56,27.697166938087406,Month-to-month,No,1
328,63,36,89.61561451379252,Month-to-month,No,0
329,35,68,58.279876443638784,Two year,No,0
330,19,7,102.18309465853592,Two year,Yes,1
331,52,54,85.95107686407702,Month-to-month,No,0
332,33,1,99.62414505413685,One year,No,1
333,58,44,47.194603941844875,Month-to-month,No,1
334,53,45,89.2358922461058,One year,No,0
335,50,47,46.40619846937187,One year,No,0
336,21,13,113.90684794502916,One year,No,0
337,50,22,83.63742815333744,Two year,No,0
338,31,21,52.451180017534206,One year,No,0
339,38,9,46.95118622922726,Month-to-month,No,0
340,65,26,39.09265850716435,One year,Yes,0
341,37,9,89.46409588937279,Month-to-month,No,1
342,25,15,41.87156129979273,Month-to-month,No,1
343,24,10,79.5303265927489,Month-to-month,No,1
344,20,42,46.463502692535734,Month-to-month,Yes,0
345,34,24,86.19689447938686,One year,No,1
346,50,49,101.49397285405392,Month-to-month,Yes,0
347,65,26,97.80252431446532,One year,Yes,0
348,29,37,96.08513309307817,One year,No,0
349,68,68,38.772240569225204,Month-to-month,No,0
350,39,50,28.83849469845187,Two year,No,0
351,39,24,89.89488284873856,Month-to-month,Yes,0
352,63,19,56.83472137943513,Month-to-month,No,0
353,47,60,63.23462264033473,One year,Yes,0
354,55,39,23.114909279339106,Month-to-month,No,0
355,55,18,45.957644927504916,Month-to-month,No,0
356,62,19,23.367640387446404,One year,No,0
357,68,36,107.91857726012476,One year,No,1
358,25,55,44.33966832185305,Month-to-month,Yes,1
359,44,69,75.7337169573008,Two year,No,0
360,44,47,23.897932066113043,One year,Yes,0
361,51,49,86.6847391305658,Two year,No,0
362,38,33,52.30273457540939,Month-to-month,No,1
363,47,21,109.79191869576658,One year,Yes,1
364,50,22,108.81181889340358,Two year,No,0
365,45,48,52.529061836174776,One year,No,0
366,64,37,110.09608956904678,One year,Yes,0
367,50,15,119.61576734987788,Month-to-month,Yes,0
368,22,35,102.5415664123948,Month-to-month,Yes,0
369,65,71,104.4871347755229,Month-to-month,No,1
370,36,32,44.90087361090899,Month-to-month,No,0
371,21,11,77.67023988577563,Two year,Yes,0
372,52,10,26.725591396736785,Month-to-month,Yes,1
373,66,57,29.49179368216697,Two year,No,0
374,34,25,119.88926120332906,Two year,No,0
375,61,2,52.663924942591095,Month-to-month,No,1
376,45,64,94.81839120488463,Month-to-month,No,1
377,47,35,100.66650530268164,Two year,Yes,0
378,46,7,105.80232710072292,Two year,No,1
379,63,18,119.76282974021565,Month-to-month,No,1
380,23,67,44.149648525686786,Month-to-month,Yes,0
381,52,42,24.03508268596997,One year,No,0
382,58,39,61.1191517994586,One year,No,0
383,54,41,33.0080669828947,Month-to-month,No,1
384,41,24,22.242588916205513,One year,Yes,0
385,46,60,56.04268271414861,Month-to-month,No,0
386,66,46,98.37382510752364,Month-to-month,No,1
387,63,19,76.61806912250708,Month-to-month,No,0
388,48,68,51.277798921035405,Month-to-month,No,0
389,52,42,85.43420054927196,Month-to-month,Yes,0
390,50,32,43.20181803088107,Month-to-month,Yes,0
391,69,39,21.438144607208503,Month-to-month,No,0
392,38,36,96.43533864364274,Month-to-month,Yes,1
393,49,36,82.3743084864009,Month-to-month,No,1
394,40,3,96.23026245009599,Two year,No,0
395,50,8,23.89380166876656,Month-to-month,No,1
396,20,70,103.71196278306522,Month-to-month,No,0
397,35,41,81.95262000363033,One year,No,1
398,42,68,76.33953507126401,Two year,Yes,0
399,59,13,82.46140481145315,Month-to-month,No,0
400,48,49,106.4433246868364,One year,No,0
401,20,60,78.6936506558907,One year,No,0
402,57,2,78.09503798881794,One year,Yes,0
403,63,60,119.06791570657658,Month-to-month,No,1
404,41,5,95.6730167068568,One year,Yes,1
405,67,44,64.22938054511353,Month-to-month,Yes,0
406,49,27,90.73970000329277,One year,Yes,0
407,64,32,58.92304716917885,One year,No,0
408,39,21,42.8875462483499,Month-to-month,Yes,0
409,40,8,79.68518768877594,Two year,Yes,0
410,19,50,112.81820981139515,Month-to-month,Yes,0
411,44,67,112.91395200154628,Two year,Yes,0
412,59,44,54.19052781054903,Month-to-month,No,0
413,19,58,72.7677466221695,Month-to-month,Yes,0
414,43,3,41.16358985698612,Month-to-month,Yes,0
415,34,70,119.56311094988834,Two year,No,0
416,57,2,118.11179078679358,Month-to-month,No,1
417,50,44,84.95089297074473,Month-to-month,No,1
418,26,2,100.44140596774734,Month-to-month,No,0
419,60,35,91.51001612837,One year,Yes,0
420,65,30,79.31582190394681,One year,No,0
421,56,8,25.334799698889768,Month-to-month,Yes,0
422,46,22,65.4764342552661,Month-to-month,No,0
423,59,44,87.47863021674105,Month-to-month,No,0
424,43,58,87.75316138836847,Month-to-month,Yes,0
425,52,36,57.31226184223836,Month-to-month,No,0
426,67,69,114.16919866580305,One year,No,1
427,42,31,36.7357032236781,Month-to-month,No,0
428,41,47,70.03594462155607,Month-to-month,No,0
429,30,55,89.08839765508228,Month-to-month,No,0
430,24,62,89.71358058918092,Two year,Yes,0
431,53,30,84.86389567688155,Two year,Yes,0
432,62,55,47.52882134518602,Two year,No,0
433,37,16,35.620656868662195,Month-to-month,No,0
434,18,12,83.59403268267108,Month-to-month,No,0
435,25,17,79.93021161394378,Month-to-month,No,0
436,63,16,37.9356010289241,Month-to-month,No,1
437,33,12,90.51391455705634,One year,No,1
438,31,8,65.51719917336564,One year,No,1
439,29,3,86.7760591603153,Two year,No,0
440,68,16,103.73670797701507,Two year,No,0
441,40,30,36.972842857692314,Month-to-month,No,0
442,32,23,21.91448679968367,One year,No,0
443,45,5,97.91025863957867,Month-to-month,Yes,1
444,51,65,80.9697425152616,Month-to-month,No,0
445,19,30,89.96395696221217,One year,No,0
446,49,21,103.81549749886426,Month-to-month,No,0
447,40,70,100.28109348245005,Month-to-month,No,0
448,39,22,116.09201469288247,Month-to-month,No,0
449,68,32,73.59350788521182,One year,Yes,0
450,42,33,68.84956326599054,One year,No,0
451,39,16,60.18871998907301,Month-to-month,No,0
452,39,38,35.36910428442045,Two year,No,0
453,66,14,77.26072328820224,Month-to-month,Yes,0
454,69,36,47.70125243259788,Month-to-month,No,1
455,59,23,112.13075122129754,One year,No,1
456,23,66,78.31908042770976,One year,No,0
457,32,2,79.28401805081101,Two year,No,0
458,60,65,55.492466087701004,Month-to-month,No,0
459,54,67,25.198935197770748,One year,No,0
460,50,52,23.174376537298862,One year,No,0
461,25,62,62.33351441531975,Two year,No,0
462,61,23,28.456537809723784,Month-to-month,Yes,0
463,61,26,80.68469555401391,One year,No,0
464,22,68,108.09730056396575,One year,No,0
465,56,55,108.29148165187222,Month-to-month,No,1
466,21,6,85.90454101322324,Month-to-month,No,1
467,23,35,41.123183147293105,Month-to-month,Yes,0
468,62,22,106.29968313588721,One year,Yes,0
469,49,43,108.60934353132082,Two year,No,0
470,69,15,39.66535849529587,One year,Yes,0
471,47,60,93.74260857706773,One year,No,0
472,64,12,48.6519548927123,One year,No,0
473,52,49,100.26403123529296,Month-to-month,No,0
474,57,42,119.72378999036027,Month-to-month,Yes,0
475,69,38,23.002600532939283,Month-to-month,Yes,1
476,33,45,109.73658657909318,Month-to-month,No,1
477,30,35,82.26305335986581,Month-to-month,No,1
478,67,30,117.33826191648211,One year,No,0
479,59,30,66.50095175264276,Month-to-month,No,1
480,47,6,104.73879305713737,Month-to-month,No,1
481,36,67,26.239406859827724,Month-to-month,No,0
482,34,7,53.527905007829574,Month-to-month,No,1
483,36,52,26.701653775120995,Two year,No,0
484,45,14,117.53431334790706,Two year,Yes,0
485,43,15,101.69739072718367,One year,Yes,0
486,54,21,105.25474212459704,Month-to-month,No,0
487,43,35,113.79652314338942,One year,No,0
488,40,66,28.510348611978536,Two year,Yes,0
489,26,2,58.55975925133334,One year,Yes,0
490,29,35,27.103488904400212,Month-to-month,No,0
491,18,20,41.07931015500286,One year,Yes,0
492,18,10,42.936577703767234,Two year,No,0
493,64,25,66.91072110475787,One year,No,0
494,51,66,46.85621674536426,One year,No,0
495,49,25,30.09781068177611,Month-to-month,No,1
496,65,54,36.74910890941077,One year,No,0
497,42,33,34.72755635520909,Month-to-month,No,0
498,57,36,117.30767979122983,One year,No,1
499,62,14,95.92925069184736,Month-to-month,No,1
500,18,65,116.7761465269562,Month-to-month,No,0
501,33,54,63.974048650790856,Month-to-month,Yes,1
502,56,52,47.83684816626566,One year,Yes,0
503,22,3,99.82931972091866,Month-to-month,Yes,0
504,39,41,52.62539180411468,One year,Yes,0
505,46,6,49.938337370534825,One year,No,1
506,20,25,43.250599220783116,Month-to-month,No,0
507,29,13,32.96789782242354,Month-to-month,No,0
508,43,8,45.6463061016766,Month-to-month,No,1
509,33,21,55.53197484738877,Two year,No,0
510,68,68,87.39942081457303,One year,No,0
511,54,25,26.256484221945158,Month-to-month,No,0
512,39,68,41.0506939665343,Month-to-month,Yes,0
513,46,45,100.90236402916764,One year,Yes,0
514,31,60,34.69219235837708,Two year,No,0
515,45,12,54.26451465225215,Two year,No,0
516,22,32,106.46589218581401,One year,Yes,0
517,64,13,35.49253111434427,Month-to-month,Yes,0
518,66,31,28.27368356181899,Month-to-month,No,0
519,47,20,68.45379950800108,Month-to-month,Yes,0
520,63,18,50.24195112785364,Month-to-month,No,0
521,69,60,76.3408364483854,Month-to-month,No,1
522,22,63,100.38048904834751,Month-to-month,No,1
523,29,6,33.714848815274316,Month-to-month,No,0
524,33,32,78.0699084554285,Two year,No,0
525,43,43,70.55087603898639,One year,No,0
526,43,2,34.40787860131996,Two year,No,0
527,65,60,82.39984855289825,One year,No,1
528,38,23,47.364041786077166,Month-to-month,Yes,0
529,56,31,68.78343185440124,One year,No,0
530,53,5,28.227232427706188,Month-to-month,No,1
531,50,34,65.95840572136231,One year,No,0
532,47,10,50.64634680428203,Month-to-month,No,0
533,54,2,102.23812111853543,Two year,No,1
534,40,11,25.697872699736827,Month-to-month,Yes,1
535,27,50,61.860727491832996,Month-to-month,No,0
536,22,31,65.8431424131438,Two year,No,0
537,53,56,92.50060762991187,Month-to-month,No,1
538,51,9,77.4287575090211,One year,No,0
539,69,21,86.72123371941811,One year,Yes,0
540,48,28,97.7049285651756,Two year,No,0
541,27,62,106.22029736581888,Two year,Yes,0
542,36,7,51.38754967224705,Two year,No,0
543,49,16,73.8022705363903,Month-to-month,No,0
544,18,4,104.01080784391999,Two year,Yes,0
545,22,4,118.94511309650565,One year,No,1
546,62,40,108.95193110437631,One year,Yes,0
547,21,17,57.14672626243768,Month-to-month,Yes,0
548,33,52,39.516651721865045,One year,No,0
549,41,52,68.93925374065887,Two year,No,0
550,33,36,94.16414518360422,Two year,No,0
551,19,38,69.25690707532976,Month-to-month,No,0
552,66,50,68.31808633136686,Month-to-month,No,0
553,45,63,103.82304210818006,Month-to-month,No,1
554,49,63,56.14037790671863,Two year,Yes,0
555,44,62,105.97946748116456,One year,Yes,0
556,37,7,60.680480095172356,Month-to-month,No,0
557,41,27,52.82331056783394,Month-to-month,No,1
558,29,14,65.3989911199699,Month-to-month,No,0
559,67,71,96.24469586748684,Month-to-month,No,1
560,52,5,32.60020278639943,Two year,No,0
561,50,55,39.641921587201736,One year,Yes,0
562,50,2,115.1444825663092,Month-to-month,Yes,1
563,68,62,37.549162738135735,One year,No,0
564,60,21,76.77273179310546,Month-to-month,No,1
565,54,21,77.93144666619378,Two year,No,0
566,29,10,68.96244620502448,Month-to-month,Yes,0
567,20,58,84.47452485768186,Month-to-month,No,1
568,18,39,42.98267257976184,Month-to-month,Yes,0
569,50,5,75.26622677767483,One year,Yes,0
570,57,65,57.21732552468971,One year,No,0
571,27,13,86.1667259629189,One year,Yes,0
572,60,53,34.122354337314945,Month-to-month,No,0
573,61,45,77.08774168394763,Month-to-month,Yes,0
574,46,32,38.52703553833237,Month-to-month,No,0
575,30,36,47.86430631150364,One year,No,0
576,29,60,41.87098003235832,Month-to-month,No,1
577,48,11,38.28377798688171,One year,No,1
578,63,63,102.5710951560667,Two year,Yes,0
579,19,21,48.57075676608903,Two year,No,0
580,68,52,112.71237818644494,Month-to-month,No,1
581,67,55,116.99265253451908,Month-to-month,Yes,1
582,52,26,77.12604699370974,Month-to-month,No,1
